,Airport_code,Airport_name,Airport_address,Airport_description
0,aal,Aalborg Lufthavn,Aalborg Denmark,"Located in the city of Nørresundby, Aalborg Airport is the third largest in Denmark and serves the city of Aalborg."
1,aar,Aarhus Airport,Aarhus Denmark,"Originally built in 1946, Aarhus Airport has since been the “temporary” primary airport for the city of Aarhus, despite being located in the city of Tirstrup nearly 50 kilometers away."
2,aba,Abakan International Airport,Abakan Russia,"Abakan International Airport is located in Abakan, Republic of Khakassia, Russia."
3,abc,Aeropuerto de Albacete,Albacete Spain,"Opened in 1929, Albacete Airport is located on Los Llanos Air Base and serves the city of Albacete."
4,abe,Lehigh Valley International Airport,Allentown PA USA,"Opened in 1929 and still operating from its original location, Lehigh Valley International gets its airport code from its former name: Allentown–Bethlehem–Easton International."
5,abi,Abilene Regional Airport,Abilene TX USA,Abilene Regional dates back to the 1930s and gets its three-letter airport code from its home in the city of Abilene.
6,abj,Aéroport International Félix Houphouët-Boigny,Abidjan Ivory Coast,"Félix Houphouët-Boigny International is named after the first President of Côte d’Ivoire, or Ivory Coast. While located in the town of Port-Bouët, it serves the city of Abidjan."
7,abq,Albuquerque International Sunport,Albuquerque NM USA,"Opened in 1939, New Mexico’s largest airport gets its name and airport code from its home in Albuquerque."
8,abv,Nnamdi Azikiwe International Airport,Abuja Nigeria,"Nnamdi Azikiwe International is named after the first Nigerian President. Its airport code comes from the city of Abuja, but unable to use ABU, they replaced the ‘U’ with the letter ‘V’."
9,abz,Aberdeen International Airport,Aberdeen UK,"Opened in 1934, Aberdeen International is located in the suburb of Dyce and serves the city of Aberdeen. Its three-letter code is completed with a filler letter ‘Z’."
10,aca,Aeropuerto Internacional General Juan N. Álvarez,Acapulco GR Mexico,"Named after Juan Álvarez, military general and interim President of Mexico, Acapulco International is an important tourist gateway for the resorts and beaches of Acapulco."
11,acc,Kotoka International Airport,Accra Ghana,"Kotoka International is named after Lieutenant General Emmanuel Kwasi Kotoka and is the only international airport in Ghana. Its airport code comes from the city it serves, Accra."
12,ace,Aeropuerto de Lanzarote,Lanzarote Spain,Lanzarote Airport began accepting civil traffic in 1946. It serves the island of Lanzarote and gets its airport code from the nearby city of Arrecife.
13,ack,Nantucket Memorial Airport,Nantucket MA USA,"When airport codes switched from two letters to three, the U.S. Navy reserved all codes starting with ‘N’. Nantucket Memorial, then, used other letters in its name to get ACK."
14,acy,Atlantic City International Airport,Atlantic City NJ USA,"Originally built in 1942 as a naval air station, Atlantic City International is now a joint civilian and military airfield and home to the Atlantic City Air National Guard Base."
15,ada,Adana Havalimanı,Adana Turkey,"Adana Şakirpaşa Airport, located in Adana, Turkey, is the sixth-busiest airport in the country, serving 5.6 million passengers in 2016."
16,add,Addis Ababa Bole International Airport,Addis Ababa Ethiopia,"Formerly Haile Selassie I Airport, Addis Ababa Bole International is located in the subcity of Bole and serves the capital city of Addis Ababa."
17,adl,Adelaide Airport,Adelaide SA Australia,"First established in 1955, the main airport for Adelaide, Australia gets its airport code from its home in ADeLaide."
18,aep,Aeroparque Jorge Newbery,Buenos Aires Argentina,Jorge Newbery Airfield serves as the main airport for the city of Buenos Aires and is named after an Argentine aviator. Its airport code comes from its Spanish name Aeroparque Jorge Newbery.
19,aer,Sochi International Airport,Sochi Russia,Sochi International served as the main airport for the 22nd Winter Olympics held in Sochi in 2014. Its airport code comes from its home in the Adlersky District.
20,aes,"Ålesund lufthavn, Vigra",Ålesund Norway,"Officially opened in 1958, Ålesund Airport is located on the island of Vigra and serves the city of Ålesund."
21,aex,Alexandria International Airport,Alexandria LA USA,"Previously known as England Air Force Base, Alexandria International gets its three-letter code from its home in Alexandria."
22,aey,Akureyrarflugvöllur,Akureyri Iceland,"A single-runway international airport in Akureyri, nothern Iceland."
23,aga,Agadir–Al Massira Airport,Agadir Morocco,"With a capacity of 3 million travelers per year, Agadir – Al Massira Airport gets its airport code from the city of Agadir."
24,agb,Flughafen Augsburg,Augsburg Germany,"Originally opened in 1968, Augsburg Airport is located in Affing and serves the city of Augsburg."
25,agc,Allegheny County Airport,West Mifflin PA USA,"Dedicated in 1931, Allegheny County Airport was originally designed to be Pittsburgh’s primary airport. Located in West Mifflin, it serves Allegheny County."
26,agp,Aeropuerto de Málaga-Costa del Sol,Málaga Spain,"Located in Málaga, Costa del Sol Airport didn’t think MAL was a good option as “mal” means “bad” in Spanish. Instead, it opted to use letters from Málaga and a filler letter ‘P’."
27,ags,Augusta Regional Airport,Augusta GA USA,"First established as a flight school for the U.S. military, Augusta Regional has become a significant hub for the Central Savannah River Area (CSRA). Its airport code comes from the city of Augusta."
28,agu,Aeropuerto Internacional Lic. Jesús Terán Peredo,Aguascalientes AG Mexico,"Jesús Terán Peredo International is named after a former governor of Aguascalientes, the city and state from which its airport code derives."
29,ahb,Abha Regional Airport,Abha Saudi Arabia,"Opened in 1977, Abha Regional gets its three-letter airport code from rearranged letters in the city name of Abha."
30,aja,Aéroport d’Ajaccio-Napoléon-Bonaparte,Ajaccio France,"Ajaccio Napoleon Bonaparte Airport serves as the main gateway to the island of Corsica in the Mediterranean Sea. It is located directly at sea level close to the city of Ajaccio, which is also the birthplace of Napoleon Bonaparte."
31,ajf,Al-Jawf Domestic Airport,Sakakah Saudi Arabia,"Featuring a single runway, Al-Jawf Domestic Airport serves the city of Sakakah and gets its name and airport code from the city’s alternate name, Al-Jawf."
32,ajl,Lengpui Airport,Aizawl MZ India,Lengpui Airport gets its name from the nearby Lengpui Village. Its airport code comes from an alternate spelling of its home city of Aizawl: Aijal.
33,aju,Aeroporto Aracaju–Santa Maria,Aracaju SE Brazil,"Officially inaugurated in 1958, Aracaju–Santa Maria Airport gets its three-letter code from its home in the city of Aracaju."
34,akc,Akron Fulton International Airport,Akron OH USA,"Opened in 1929, Akron Fulton International is named after longtime manager Bain Ecarius “Shorty” Fulton. The code AKR was given to Akure Airport in Nigeria, so Akron uses AKC for Akron City."
35,akl,Auckland Airport,Auckland New Zealand,"Once the site for the Mangere Aerodrome, New Zealand’s busiest airport is located in Mangere, a suburb of Auckland."
36,akx,Aktobe Airport,Aktobe Kazakhstan,"Aktobe Airport gets its three-letter code from its home city of Aktobe. It is completed with a letter ‘X’, often used as a filler letter."
37,ala,Almaty International Airport,Almaty Kazakhstan,Almaty International is Kazakhstan’s largest international airport. It is located 15km northeast from the city of Almaty and was formerly known as Alma-Ata Airport.
38,alb,Albany International Airport,Albany NY USA,"Albany International was the first municipal airport in the United States. It is the major air center for the Capital Region, northeastern New York, and western New England."
39,alc,Aeropuerto de Alicante-Elche,Alicante Spain,"Originally named El Altet, Alicante–Elche Airport is the sixth busiest airport in Spain. Located in Elche, it serves the cities of Valencia, Murcia, and Alicante."
40,alg,Houari Boumediene Airport,Algiers Algeria,"Opened in 1924 as Maison Blanche Airport, Houari Boumediene Airport is now named after a former President of Algeria. Its airport code honors its home in the city of Algiers."
41,als,San Luis Valley Regional Airport,Alamosa CO USA,"Opened in early 1941, it is owned by the City and County of Alamosa and is named for Carl A. Bergman, a local businessman and initial supporter of the airport."
42,ama,Rick Husband Amarillo International Airport,Amarillo TX USA,"Opened in 1929 as English Field, Amarillo Airport was renamed in 2003 to honor Rick Husband, NASA astronaut who died in the Space Shuttle Columbia disaster. Its code honors the city of Amarillo."
43,amd,Sardar Vallabhbhai Patel International Airport,Ahmedabad GJ India,Sardar Vallabhbhai Patel International is named after India’s first Deputy Prime Minister. Its airport code honors its home in the beautiful city of Ahmedabad.
44,amm,Queen Alia International Airport,Amman Jordan,"Named after Queen Alia, third wife to the late King Hussein, Jordan’s largest airport is located in Zizya, 30 km (20 mi) south of the capital city of Amman."
45,amq,Bandar Udara Pattimura,Ambon Indonesia,"Pattimura Airport is named after Thomas Matulessy, also known as Kapitan Pattimura, Indonesian soldier and national hero. Its airport code comes from the city of Ambon plus a ‘Q’, often used as a filler letter."
46,ams,Luchthaven Schiphol,Amsterdam Netherlands,"The name “Schiphol” came from the nearby Fort Schiphol, which translates to “ship grave” in English. Its airport code honors the city of Amsterdam."
47,anc,Ted Stevens Anchorage International Airport,Anchorage AK USA,"In 2009, Anchorage International was renamed to honor U.S. Senator Ted Stevens, but its airport code still honors its home in Anchorage."
48,ang,Aéroport international d'Angoulême-Cognac,Angoulême France,Angoulême – Cognac International is located between Brie and Champniers and serves the city of Angoulême.
49,anr,Internationale Luchthaven Antwerpen,Antwerp Belgium,Antwerp International is a small scale airport serving Belgium’s second biggest city. Its airport code refers directly to the city of Antwerp.
50,ans,Aeropuerto Andahuaylas,Andahuaylas Peru,Andahuaylas Airport is the only airport in the Apurímac Region that serves commercial flights. Its three-letter code comes from the city of Andahuaylas.
51,anu,V. C. Bird International Airport,Saint John’s Antigua and Barbuda,"Built in 1942 by the U.S. Army as Coolidge Airfield, V. C. Bird International was renamed in 1985 in honor of the country’s first Prime Minister, Vere Cornwall Bird Sr. Its airport code comes from the island’s name, Antigua."
52,aoi,Aeroporto Raffaello Sanzio di Ancona-Falconara ,Ancona Italy,"Raffaello Sanzio Airport is named after the famous Renaissance artist, internationally known as Raphael. Located in Falconara Marittima, it serves the city of Ancona, Italy."
53,apa,Centennial Airport,Denver CO USA,Centennial Airport serves the Denver-Aurora metro area in Colorado. It is located in the town of Dove Valley and was previously known Arapahoe County Airport.
54,apw,Faleolo International Airport,Apia Samoa,"Faleolo Airport was built during World War II by the U.S. Navy. Its airport code comes from the capital city of Apia and the country’s name at the time of its designation, Western Samoa."
55,aqj,King Hussein International Airport,Aqaba Jordan,"King Hussein International is located within a 15-mile radius of Egypt, Saudi Arabia, and Israel. Its airport code honors its home in the city of Aqaba, Jordan."
56,aqp,Aeropuerto Internacional Alférez Alfredo Rodríguez Ballón,Arequipa Peru,Alfredo Rodríguez Ballón International shares its name with the Peruvian aviator. Its airport code honors its home in the city of Arequipa.
57,arn,Stockholm-Arlanda flygplats,Stockholm Sweden,"Stockholm’s airport is named Arlanda, a made-up word combining “Arland”, another name for the nearby parish of Ärlinghundra, and “landa”, Swedish verb meaning “to land.”"
58,art,Watertown International Airport,Watertown NY USA,"The FCC restricted U.S. airport codes from beginning with the letters ‘W’ and ‘K’, reserving them for radio station designations. Watertown International opted, then, to use other letters from Watertown."
59,asb,Ashgabat International Airport,Ashgabat Turkmenistan,"Opened in 1994 and formerly named after Saparmyrat Niyazov, Turkmenistan’s first President, Ashgabat International gets its airport code from the capital city of Ashgabat."
60,ase,Aspen–Pitkin County Airport,Aspen CO USA,"Officially dedicated in 1958, Aspen–Pitkin County Airport is also called Sardy Field, named after Commissioner Thomas J. Sardy. Its airport code comes from its home in the city of Aspen."
61,asm,Asmara International Airport,Asmara Eritrea,"Formerly known as Yohannes IV Airport, Asmara International was nearly destroyed during World War II and was rebuilt in the 1950s. Its airport code comes from the capital city of Asmara."
62,asu,Aeropuerto Internacional Silvio Pettirossi,Asunción Paraguay,"Silvio Pettirossi International is named after Silvio Pettirossi, local aviator and pioneer. Located in the city of Luque, its aiport code comes from the city it serves, Asunción."
63,ata,Aeropuerto Comandante FAP Germán Arias Graziani,Huaraz Peru,"Germán Arias Graziani Airport serves the city of Huaraz, but gets its three-letter code from the nearby village of Anta."
64,ath,"Athens International Airport, Eleftherios Venizelos",Athens Greece,Eleftherios Venizelos Airport is named after the Cretan political leader and Prime Minister of Greece who pushed the development of Greek aviation. Its airport code comes from the capital city of Athens.
65,atl,Hartsfield–Jackson International Airport,Atlanta GA USA,The Hartsfield-Jackson Airport honors former mayors Maynard Jackson and William B. Hartsfield. The airport code honors Atlanta and has become the city’s beloved nickname.
66,atq,Sri Guru Ram Das Jee International Airport,Amritsar PB India,"Sri Guru Ram Das Jee International is named after Guru Ram Das, the fourth Sikh Guru and founder of the city of Amritsar. Its code is completed by the letter ‘Q’, often used as a filler letter."
67,atw,Appleton International Airport,Appleton WI USA,"Dedicated in 1965 and previously named Outagamie County Regional, Appleton International is located in the town of Greenville and serves the city of Appleton, Wisconsin."
68,aua,Internationale luchthaven Koningin Beatrix,Oranjestad Aruba Netherlands,"Queen Beatrix International is named after Princess Beatrix of the Netherlands, former Queen and head of state. Located in the capital city of Oranjestad, it serves the island of Aruba."
69,auh,Abu Dhabi International Airport,Abu Dhabi United Arab Emirates,"In 1982, Abu Dhabi International replaced Al Bateen Airport as the primary airport for the city of Abu Dhabi."
70,aus,Austin–Bergstrom International Airport,Austin TX USA,"Once the location for Bergstrom Air Force Base (BSM), Austin-Bergstrom Airport opened in 1999 and took the airport code AUS from Mueller Airport which closed that same year."
71,avl,Asheville Regional Airport,Asheville NC USA,"Opened in 1961, Asheville Regional is located near the town of Fletcher and serves the city of Asheville."
72,avp,Wilkes-Barre/Scranton International Airport,Avoca PA USA,"Granted “international” status in 1975, Wilkes-Barre/Scranton International serves the cities of Wilkes-Barre and Scranton, but is located in the city of Avoca, Pennsylvania."
73,awz,Ahvaz International Airport,Ahvaz Iran,"Ahvaz International gets its three-letter code from its home in Ahvaz, alternately spelled Ahwaz."
74,ayp,Aeropuerto Coronel FAP Alfredo Mendívil Duarte,Ayacucho Peru,"Alfredo Mendívil Duarte Airport gets its three-letter airport code from its home in the city of Ayacucho, Peru."
75,ayt,Antalya Havalimanı,Antalya Turkey,Antalya Airport primarily serves tourists visiting Turkey’s Mediterranean beaches. Its three-letter code is completed by rearranged letters from its home city of Antalya.
76,aza,Phoenix-Mesa Gateway Airport,Phoenix AZ USA,"Formerly named after 1st Lt. Charles Williams of the U.S. Army Air Corps, Phoenix-Mesa Gateway is the lucky airport whose airport code honors its home state of Arizona."
77,azo,Kalamazoo/Battle Creek International Airport,Kalamazoo MI USA,"The FCC restricted U.S. airport codes from beginning with the letters ‘W’ and ‘K’, reserving them for radio station designations. Kalamazoo/Battle Creek International opted, then, to use other letters from Kalamazoo."
78,bah,Bahrain International Airport,Muharraq Bahrain,"Located on Muharraq Island, Bahrain Airport became the first international airport in the Persian Gulf in 1932. It serves the entire country of Bahrain."
79,bal,Batman Havaalanı,Batman Turkey,"Batman Airport is a civil-military airport serving the city of Batman in Batman ili, Turkey."
80,baq,Aeropuerto Internacional Ernesto Cortissoz,Barranquilla Colombia,"Dedicated in 1981, Ernesto Cortissoz International is named after Ernesto Cortissoz, Colombian aviation pioneer. It is located in the suburb of Soledad and serves the city of Barranquilla."
81,bat,Aeroporto Chafei Amsei,Barretos SP Brazil,Chafei Amsei Airport is used for general aviation and gets its three-letter code from the city of Barretos.
82,bcb,Virginia Tech Montgomery Executive Airport,Blacksburg VA USA,"This small but scenic airport is located in the university town of Blacksburg, Virginia."
83,bcn,Aeropuerto de Barcelona-El Prat,Barcelona Spain,"Barcelona’s first airfield was built in 1916, but a new location in El Prat was chosen in 1918. The airport now uses the code BCN which stands for Barcelona."
84,bda,L.F. Wade International Airport,Bermuda UK,"Started as Kindley Field, a joint U.S. Army Air Force and Royal Air Force base, L.F. Wade International was renamed in 2007 after the Progressive Labour Party leader. Its airport code honors its home in Bermuda."
85,bdi,Bird Island Airport,Bird Island Seychelles,Bird Island Airport has a grass runway and serves travelers jumping between islands in the Seychelles. Its airport code comes from its home on Bird Island.
86,bdl,Bradley International Airport,Hartford CT USA,"Originally a National Guard air base during World War II, Bradley International is named after U.S. Air Force Lieutenant Eugene M. Bradley."
87,bdo,Bandar Udara Internasional Husein Sastranegara,Bandung Indonesia,"Husein Sastranegara International was built by Dutch settlers and named after Husein Sastranegara, aviator from West Java. Its airport code comes from an old spelling of the city of Bandung: BanDOeng."
88,bds,Brindisi - Aeroporto del Salento,Brindisi Italy,"Formerly known as Papola Casale Airport, Brindisi - Salento Airport gets its three-letter code from its home in Brindisi."
89,beb,Port-adhair Beinn na Faoghla,Benbecula UK,"Located in the village of Balivanich, Benbecula Airport serves the islands of Benbecula, North Uist, and South Uist off the coast of Scotland."
90,bed,Laurence G. Hanscom Field,Bedford MA USA,Laurence G. Hanscom Field is named after a local aviator who was killed in a plane crash in 1941. Its airport code comes from its home in the city of Bedford.
91,beg,Aerodrom Beograd - Nikola Tesla,Belgrade Serbia,"Previously known as Belgrade Airport or Surčin Airport, it was renamed in 2006 in honor of Serbian scientist and inventor Nikola Tesla. It is the busiest airport in the former Yugoslavia."
92,bel,Aeroporto Internacional Júlio Cezar Ribeiro,Belém PA Brazil,"Júlio Cezar Ribeiro International is named after Júlio Cezar Ribeiro de Sousa, Brazilian inventor of the glider balloon. Its airport code comes from the city of Belém."
93,ber,Flughafen Berlin Brandenburg ,Berlin Germany,"Finally opening in fall of 2020 (nine years late), Berlin Brandenburg Airport’s three-letter code honors the city of Berlin."
94,bes,Brest Bretagne Airport,Brest France,The Brest Bretagne Airport originated as two airship hangars in Guipavas in 1917 and was formerly known as the Brest Guipavas Airport.
95,bey,Beirut–Rafic Hariri International Airport,Beirut Lebanon,"Located in the suburbs of Beirut, Lebanon’s only commercial airport gets its three-letter airport code from the French spelling of Beirut: Beyrouth."
96,bff,Western Nebraska Regional Airport,Scottsbluff NE USA,"Western Nebraska Regional is also referred to as William B. Heilig Field, named after a World War II flight instructor and former airport manager. Its airport code comes from its home city and former name of Scottsbluff Army Airfield."
97,bfi,King County International Airport / Boeing Field,Seattle WA USA,"King County International is located in Seattle, Washington and is also known as Boeing Field, named after William E. Boeing, founder of The Boeing Company."
98,bfl,Meadows Field Airport,Bakersfield  CA USA,"In 1957, Meadows Field Airport was named after Cecil Meadows, former Army pilot and Kern County Director of Airports from 1935–1957. Located in Oildale, it serves the city of Bakersfield."
99,bfs,Belfast International Airport,Belfast UK,"Formerly named and commonly still called Aldergrove Airport, Belfast International is located between the villages of Killead and Aldergrove. It is the busiest airport in Northern Ireland."
100,bga,Aeropuerto Internacional de Palonegro,Bucaramanga Colombia,"Palonegro International is named for the nearby area where the Battle of Palonegro took place during the Thousand Days War. Its airport code comes from the city it serves, Bucaramanga."
101,bgi,Grantley Adams International Airport,Bridgetown Barbados,"Grantley Adams International is named after the founder of the Barbados Labour Party. Located in the Seawell area of Bridgetown, its airport code stands for Bridgetown International."
102,bgo,"Bergen lufthavn, Flesland",Bergen Norway,"Opened in 1955, Bergen Airport is located in the village of Flesland and is the second busiest airport in Norway. Its airport code comes from Bergen and the ‘O’ could come from Norway, but is likely a filler letter."
103,bgr,Bangor International Airport,Bangor ME USA,"Originally known as Godfrey Field, Bangor International was an army air field during and after World War II. Its airport code comes from its home in Bangor."
104,bgw,Baghdad International Airport,Baghdad Iraq,"Baghdad Airport was formerly named after Saddam Hussein and used the code SDA. When the named changed, its airport code changed to BGW, which previously referred to all Baghdad airports. The ‘W’ is a filler letter."
105,bgy,Aeroporto di Bergamo-Orio al Serio Il Caravaggio,Bergamo Italy,"Il Caravaggio International is named after the famous Baroque painter. It is located in the comune of Orio al Serio, near the city of Bergamo. The ‘Y’ in BGY likely comes from Lombardy or Italy."
106,bhd,George Best Belfast City Airport,Belfast UK,"Opened in 1983, George Best Belfast City Airport was renamed in 2006 in honor of the Northern Irish footballer George Best. It was originally known as Belfast Harbour Airport, located in County Down."
107,bhm,Birmingham–Shuttlesworth International Airport,Birmingham AL USA,"Birmingham-Shuttlesworth International shares its name with Alabama civil rights activist Fred Shuttlesworth, but it gets its airport code from its home in Birmingham."
108,bhx,Birmingham Airport,Birmingham UK,"Many airports use the letter ‘X’ to fill in when the desired letters are already taken. Previously Elmdon Airport, Birmingham Airport’s name gives us the first two letters plus that helpful ‘X’."
109,bil,Billings Logan International Airport,Billings MT USA,"Opened in 1928, Billings Municipal was renamed to Billings Logan Field in 1957 after Dick Logan, former airport manager. In 1971 it became Billings Logan International."
110,bio,Aeropuerto de Bilbao,Bilbao Spain,"Opened for passenger travel in 1948, Bilbao Airport serves the Basque Country and northern Spain from the city of Bilbao."
111,bjc,Rocky Mountain Metropolitan Airport,Denver CO USA,"Renamed in 2006, Rocky Mountain Metropolitan Airport serves the Denver area and gets its airport code from the nearby town of Broomfield in Jefferson County."
112,bjl,Banjul International Airport,Banjul the Gambia,"The only airport in The Gambia, Banjul International is sometimes called Yundum Airport. Its three-letter code comes from the city of Banjul."
113,bjm,Aéroport international de Bujumbura,Bujumbura Burundi,"Bujumbura International gets its three-letter airport code from its home in Bujumbura, the capital city of Burundi."
114,bjx,Aeropuerto Internacional de Guanajuato,Guanajuato Mexico,"Guanajuato International is located in the city of Guanajuato and gets its airport code from the region of Bajío, Mexico."
115,bkf,Lake Brooks Seaplane Base,Katmai National Park AK USA,Lake Brooks Seaplane Base is a seaplane landing area on Naknek Lake in Katmai National Park. Its airport code comes from the nearby Brooks Falls.
116,bki,Lapangan Terbang Antarabangsa Kota Kinabalu,Kota Kinabalu Malaysia,Kota Kinabalu International is Malaysia’s second-busiest airport. Its airport code comes from its location on Borneo and in the city of Kota Kinabalu.
117,bkk,Suvarnabhumi Airport,Bangkok Thailand,Suvarnabhumi Airport was named by King Bhumibol Adulyadej after the mythical golden kingdom said to be located in Southeast Asia. Its airport code comes from the capital city of Bangkok.
118,bkl,Burke Lakefront Airport,Cleveland OH USA,"Home to the Cleveland National Air Show, Burke Lakefront was opened in 1947 on the shore of Lake Erie and is named after then mayor Thomas A. Burke."
119,bko,Aéroport international de Bamako–Sénou,Bamako Mali,"Opened in 1974, Sénou International gets its three-letter airport code from its home in the capital city of Bamako."
120,bli,Bellingham International Airport,Bellingham WA USA,Bellingham International was used by the Fourth Air Force during World War II. Commercial service to Bellingham began in the mid 1980s.
121,blk,Blackpool Airport,Blackpool UK,"Located on the coast of Lancashire, Blackpool Airport was formerly known as Squires Gate Airport. Its airport code comes from the city of Blackpool."
122,bll,Billund Lufthavn,Billund Denmark,"Billund Airport was once a private runway owned by Godtfred Kirk Christiansen, son to LEGO founder Ole Kirk Christiansen. Located in Billund, it served the LEGO factory and now serves nearby Legoland."
123,blq,Aeroporto di Bologna-Guglielmo Marconi,Bologna Italy,"Named after Guglielmo Marconi, Italian inventor and Nobel laureate, Bologna Airport serves the city of Bologna. Its code is completed by the letter ‘Q’, often used as a filler letter."
124,blr,Kempegowda International Airport,Bengaluru KA India,"Kempegowda International was renamed in 2013 to honor the city’s founder, Kempe Gowda I. Its airport code comes from a former spelling of Bengaluru: Bangalore."
125,bma,Stockholm-Bromma flygplats,Stockholm Sweden,"Opened in 1936, Stockholm Bromma Airport serves the city of Stockholm and is located in the borough of Bromma."
126,bmi,Central Illinois Regional Airport,Bloomington IL USA,"Previously know as Bloomington/Normal Airport, Central Illinois Regional was renamed in 1996 to reflect its central location. Its airport code honors its home in Bloomington."
127,bmv,Sân bay Buôn Ma Thuột,Buon Ma Thuot Vietnam,"With a single functional runway, Buon Ma Thuot Airport gets its three-letter code from its home in Buon Ma Thuot, Vietnam."
128,bna,Nashville International Airport,Nashville TN USA,"Nashville International was originally named after Colonel Harry S. Berry. Codes with first letter ‘N’ were reserved for the U.S. Navy, so it used Berry Field Nashville to get BNA."
129,bnd,Bandar Abbas International Airport,Bandar Abbas Iran,Bandar Abbas International gets its three-letter airport code from its home in the city of Bandar Abbas.
130,bne,Brisbane Airport,Brisbane QLD Australia,"Opened in 1988, Brisbane Airport replaced Eagle Farm Airport as the primary airport serving the city of Brisbane in Queensland."
131,bnx,Banja Luka International Airport,Banja Luka Bosnia and Herzegovina,"Originally built in 1976, Banja Luka International is located in the village of Mahovljani, but serves the ctiy of Banja Luka. Its three-letter code is completed by an ‘X’, often used as a filler letter."
132,bob,Bora Bora Airport,Bora Bora French Polynesia France,"Opened during World War II and located on the islet of Motu Mute, Bora Bora Airport gets its three-letter code from the island it serves, Bora Bora."
133,bod,Aéroport de Bordeaux-Mérignac,Bordeaux France,"Started as an airfield in 1917, Bordeaux-Mérignac Airport gets its three-letter code from the city it serves, Bordeaux."
134,bog,Aeropuerto Internacional El Dorado,Bogotá Colombia,"El Dorado International may be named after the mythical city of gold, but its airport code comes from its home in Bogotá."
135,boh,Bournemouth Airport,Bournemouth UK,"Started during World War II, RAF Hurn was renamed in 1969 to Bournemouth Airport after the nearby town in southern England."
136,boi,Boise Airport,Boise ID USA,"Originally named (and often still called) Gowen Field, Boise Airport honored U.S. Army 1st Lieutenant Paul R. Gowen. Its airport code honors its home in Boise."
137,bom,Chhatrapati Shivaji International Airport,Mumbai MH India,"The Mumbai airport was previously named Sahar International, but it gets its three-letter code from the city’s former English name, Bombay, changed in 1995."
138,bon,Luchthaven Flamingo,Bonaire ABC islands Netherlands,"Opened in 1945, Flamingo International is located in the city of Kralendijk and serves the island of Bonaire."
139,bos,Logan International Airport,Boston MA USA,"Formerly Jeffery Field, Logan Airport was renamed in 1943 to honor Edward Lawrence Logan, U.S. Army Lt. General and MA state representative. Its airport code honors its home in Boston."
140,bpn,Bandar Udara Internasional Sultan Aji Muhammad Sulaiman,Balikpapan Indonesia,"Sultan Aji Muhammad Sulaiman International, formerly Sepinggan Airport, is the busiest airport in Kalimantan. It serves the nearby city of Balikpapan."
141,bpt,Jack Brooks Regional Airport,Beaumont TX USA,"Formerly Southeast Texas Regional, Jack Brooks Regional was renamed to honor former U.S. Representative Jack Brooks. It serves the cities of Beaumont and Port Arthur, Texas"
142,bqh,Biggin Hill Airport,London UK,"Biggin Hill Airport was originally opened by the Royal Flying Corps during World War I. It gets its three-letter code from the town of Biggin Hill plus a ‘Q’, often used as a filler letter."
143,bra,Aeroporto de Barreiras,Barreiras BA Brazil,"Opened in 1940, Barreiras Airport gets its three-letter code from its home in the city of Barreiras."
144,bre,Flughafen Bremen,Bremen Germany,"Opened in 1920 and originally called Neuenlander Feld, Bremen Airport serves as a starting point for commercial pilot careers at Lufthansa."
145,bro,Brownsville/South Padre Island International Airport,Brownsville TX USA,"Formerly Brownsville Army Airfield, Brownsville/South Padre Island International gets its three-letter code from its home in Brownsville, Texas."
146,brq,Letiště Brno–Tuřany,Brno Czech Republic,"Built in the 1950s, Brno–Tuřany Airport gets its airport code from the city of Brno, plus a helpful ‘Q’ as a filler letter."
147,brr,Port-adhair Bharraigh,Barra UK,"Opened in 1936, Barra Airport is located at the north tip of the island of Barra in the Outer Hebrides, Scotland. It is the only airport in the world using a beach as its runway."
148,brs,Bristol Airport,Bristol UK,"Used as RAF Lulsgate Bottom during World War II, Bristol Airport is located at Lulsgate Bottom in North Somerset and serves the city of Bristol."
149,bru,Luchthaven Brussel-Nationaal,Brussels Belgium,"Built during World War II and originally called Fliegerhorst Melsbroek, Belgium’s largest airport is located between Zaventem and Machelen, northeast of Brussels."
150,brw,Wiley Post–Will Rogers Memorial Airport,Barrow AK USA,Wiley Post–Will Rogers Memorial Airport honors the late entertainer Will Rogers and aviator Wiley Post whose plane crashed nearby in 1935. Its airport code honors its home in Barrow.
151,bsb,Aeroporto Internacional de Brasília–Pres. Juscelino Kubitschek,Brasília Brazil,"Renamed in 1999 to honor former President Juscelino Kubitschek de Oliveira, Brasília International gets its airport code from its home in the capital city of Brasília, Brazil."
152,bsl,EuroAirport Basel–Mulhouse–Freiburg,Basel Switzerland,"EuroAirport Basel-Mulhouse-Freiburg has two IATA codes (MLH is the other one). It is actually located in Saint-Louis, France but is one of only a few airports in the world operated jointly by two countries, in this case France and Switzerland."
153,btj,Bandar Udara Internasional Sultan Iskandar Muda,Banda Aceh Indonesia,The Sultan Iskander Muda International serves the area near Banda Aceh. Its airport code refers to the nearby subdistricts of Blang Bintang and Jantho.
154,btm,Bert Mooney Airport,Butte MT USA,"Bert Mooney Airport in Butte, Montana is named for the first pilot to fly mail into Yellowstone National Park. It opened in 1926 as Butte Municipal Airport."
155,btr,Baton Rouge Metropolitan Airport,Baton Rouge LA USA,"Also known as Ryan Field, Baton Rouge Metropolitan gets its three-letter code from its home in Baton Rouge."
156,bts,Letisko M. R. Štefánika,Bratislava Slovakia,"M. R. Štefánik Airport, also called Bratislava Airport, was renamed in 1993 after General Milan Rastislav Štefánik, whose aircraft crashed near Bratislava in 1919."
