,Airport_code,Airport_name,Airport_address,Airport_description
953,svo,Sheremetyevo International Airport,Moscow Russia,"Opened in 1959, Sheremetyevo International is located in the city of Khimki, but was named after the nearby village of Sheremetyevsky."
954,svq,Aeropuerto de Sevilla,Seville Spain,"Seville Airport, also known as San Pablo Airport, began commercial flights in 1919. Its airport code comes from the city of Seville, plus a ‘Q’ as a filler letter."
955,svx,Koltsovo International Airport,Yekaterinburg Russia,"Many airports use the letter ‘X’ to fill in when the desired letters are already taken. Koltsovo International serves Yekaterinburg, industrial and cultural center of the Ural region. It was previously named Sverdlovsk, plus that helpful ‘X’."
956,swf,Stewart International Airport,Newburgh NY USA,"Founded in the 1930s, Stewart International gets its name from the Stewart family who donated the land for the future airport. It was previously the location for Stewart Dairy Farm."
957,sxb,Aéroport International de Strasbourg,Strasbourg France,"Many airports use the letter ‘X’ to fill in when the desired letters are already taken. Actually located in the village of Entzheim, this airport gets its code from the town of Strasbourg plus that helpful ‘X’."
958,sxf,Flughafen Berlin-Schönefeld,Berlin Germany,Many airports use the letter ‘X’ to fill in when the desired letters are already taken. This Berlin airport get its code from its home in the town of Schönefeld plus that helpful ‘X’.
959,sxm,Princess Juliana International Airport,Simpson Bay Saint Martin Netherlands,"Many airports use the letter ‘X’ to fill in when the desired letters are already taken. Princess Juliana International was named after the crowned princess (at the time) of the Netherlands. Its airport code stands for Saint Martin, plus that helpful ‘X’."
960,sxr,Srinagar International Airport,Srinagar JK India,"Srinagar International is located in the city of Srinagar in Jammu and Kashmir and is known for serving pilgrimage charters to Jeddah. Its airport code is completed with an ‘X’, often used as a filler letter."
961,syd,Sydney (Kingsford Smith) Airport,Sydney NSW Australia,"Kingsford Smith Airport is named in honor of Sir Charles Kingsford Smith, Australian aviator. Its airport code honors its home in Sydney."
962,syr,Syracuse Hancock International Airport,Syracuse NY USA,"Syracuse Hancock International opened for passenger travel in 1949 and honors Clarence E. Hancock, former New York congressman. Its airport codes honors the city of Syracuse."
963,syx,Sanya Phoenix International Airport,Sanya China,"Opened in 1994, Sanya Phoenix International gets its name and airport code from its home in the city of Sanya and nearby Phoenix Mountain."
964,syz,Shiraz International Airport,Shiraz Iran,"Renovated in 2005, Shiraz International gets its three-letter code from its home in the city of Shiraz. It is completed with a ‘Y’, often used as a filler letter."
965,szb,Lapangan Terbang Sultan Abdul Aziz Shah,Subang Malaysia,Sultan Abdul Aziz Shah Airport gave its airport code KUL to Kuala Lumpur International in 1998. Its new code comes from its current and former names: Sultan Abdul Aziz Shah / Subang Airport.
966,szg,Salzburg Airport W. A. Mozart,Salzburg Austria,"Austria’s second largest airport is named after classical composer Wolfgang Amadeus Mozart, but its airport code honors its home in Salzburg."
967,szx,Shenzhen Bao'an International Airport,Shenzhen China,"Shenzhen Bao'an International (formerly Shenzhen Huangtian Airport) gets its three-letter code from the city it serves, Shenzhen, and its location in Bao'an District, historically called Xin'an County."
968,tab,A.N.R. Robinson International Airport,Scarborough Trinidad and Tobago,"Renamed in 2011, A.N.R. Robinson International honors Arthur Napoleon Raymond Robinson, the third Prime Minister of Trinidad and Tobago. Its three-letter code rearranges letters from its home on the island of Tobago."
969,tak,Takamatsu Airport,Takamatsu Japan,Takamatsu Airport gets its three-letter code from its home in the city of Takamatsu.
970,tao,Qingdao Liuting International Airport,Qingdao China,Qingdao Liuting Airport will soon be replaced by Qingdao Jiaodong International. Its airport code comes from an older English spelling of Qingdao: Tsingtao.
971,tas,Toshkent Xalqaro Aeroporti,Tashkent Uzbekistan,Tashkent International is the largest airport in Uzbekistan. Its airport code comes from its home in the city of Tashkent.
